Format;HydroMonitor - open data exchange file;;;;;;;;;;;;;;
Format Definition;1,0;;;;;;;;;;;;;;
Format Definition;www,menyanthes,nl/hydromonitor_data_exchange_format,pdf;;;;;;;;;;;;;;
Format Type;Excel;;;;;;;;;;;;;;
Format Contents;Header;Metadata;Data;;;;;;;;;;;;
Object Type;ObservationWell;;;;;;;;;;;;;;
Object ID Fields;Name;FilterNo;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Name;NITGCode;OLGACode;FilterNo;StartDateTime;XCoordinate;YCoordinate;SurfaceLevel;WellTopLevel;FilterTopLevel;FilterBottomLevel;WellBottomLevel;LoggerSerial;LoggerDepth;Comment;CommentBy;LoggerBrand;LoggerType
[String];[String];[String];[Integer];[dd-mm-yyyy HH:MM];[m];[m];[m+ref];[m+ref];[m+ref];[m+ref];[m+ref];[String];[-m+welltop];[String];[String];[String];[String]
11250230B835B;;D4-2;;15-10-2009 00:00;219761;556739;0,00;8,40;6,06;5,56;5,56;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B836A;;D5-1;;16-10-2009 00:00;219645;556699;0,00;7,61;6,99;6,79;6,79;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B836B;;D5-2;;16-10-2009 00:00;219645;556699;0,00;7,60;5,52;4,52;4,52;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B837A;;E1-1;;16-10-2009 00:00;219198;556943;0,00;6,53;6,09;5,89;5,89;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B837B;;E1-2;;16-10-2009 00:00;219198;556943;0,00;6,52;4,41;3,41;3,41;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B838A;;F1-1;;13-10-2009 00:00;218968;558445;0,00;7,04;6,47;6,17;6,17;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B838B;;F1-2;;13-10-2009 00:00;218968;558445;0,00;7,02;4,24;3,24;3,24;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
;;;;;;;;;;;;;;;
Name;FilterNo;DateTime;ManualHead;
[String];[Integer];[dd-mm-yyyy HH:MM];[m+ref];

	
